Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Social Services,311 Service Requests from 2010 to Present,Social-Services/311-Service-Requests-from-2010-to-Present/erm2-nwe9,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"311, 311 service requests, city government, socialservices, 2010, 2011, 2012, service request status, all service requests"
Transportation,Medallion Drivers - Active,Transportation/Medallion-Drivers-Active/jb3k-j3gp,Taxi and Limousine Commission (TLC),This list contains the most recently published active  medallion drivers list. This is a list of licensees who are currently authorized to operate NYC TLC licensed Taxicabs. The old data set is no longer being updated but can be accessed from the link given below to access data from 03/07/2013 through 01/04/2014 https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/n776-dsqy. A new Change Log containing changes in status from 10/28/2013 onwards can be found at https://data.cityofnewyork.us/Transportation/TLC-MEDALLION-ACTIVE-Historical-Data/sjfe-fppp. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Transportation,Subway Entrances,Transportation/Subway-Entrances/drex-xx56,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"mta, metropolitan transportation authority, jobs and economic mobility, location, map, cartography, basemap, transit, transportation, train, subway, travel, entrance, station"
Transportation,FHV Bases,Transportation/FHV-Bases/v52x-36fy,Taxi and Limousine Commission (TLC),"Click this link for use instructions :  
http://www.nyc.gov/html/tlc/downloads/pdf/open_data_instructions_base_finder.pdf",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"fhv bases, tlc, taxi, basefinder"
,NYC Open Data Available Datasets,dataset/NYC-Open-Data-Available-Datasets/j9m9-eu6n,NYC Department of Information Technology and Telecommunications,A listing of all available and planned datasets for use in feeding API calls and embedded lists on the NYC Open Data Compliance Plan Dashboard,Chris Whong,http://data.cityofnewyork.us/api/users/xpic-k57b,
Public Safety,NYPD Motor Vehicle Collisions,Public-Safety/NYPD-Motor-Vehicle-Collisions/h9gi-nx95,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
Transportation,Medallion  Vehicles - Authorized,Transportation/Medallion-Vehicles-Authorized/rhe8-mgbb,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion vehicles authorized to operate in New York City. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
City Government,Open Data Plan Update 2015,City-Government/Open-Data-Plan-Update-2015/7t6i-mkth,Department of Information Technology & Telecommunications (DoITT),"This inventory includes all datasets scheduled for release between July 2015 and December 31, 2018.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"open data, scheduled releases, datasets"
Transportation,MTA Data,Transportation/MTA-Data/mmu8-8w8b,Metropolitan Transportation Authority (MTA),"Information pertaining to MTA (Metropolitan Transportation Authority of the State of New York) subways, buses, commuter rail, bridges, and tunnels",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"traffic, vehicles, route, schedules, clean web"
City Government,ECB Notice of Violations,City-Government/ECB-Notice-of-Violations/y6h5-jvss,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
Health,DOHMH New York City Restaurant Inspection Results,Health/DOHMH-New-York-City-Restaurant-Inspection-Results/xx67-kt59,Department of Health and Mental Hygiene (DOHMH),"This dataset provides restaurant inspections, violations, grades and adjudication information",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"restaurant, inspection, violation, grade, adjudication, fines, dohmh, department of health and mental hygiene (dohmh), dohmh new york city restaurant inspection results, food"
Housing & Development,Building Footprints,Housing-Development/Building-Footprints/tb92-6tj8,Department of Information Technology & Telecommunications (DoITT),Shapefile of footprint outlines of buildings in New York City.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"building footprints, doitt, outline, base, blueprint, doitt gis, doittgis"
Transportation,For Hire Vehicles (FHV) - Active Drivers,Transportation/For-Hire-Vehicles-FHV-Active-Drivers/xjfq-wh2d,Taxi and Limousine Commission (TLC),NYC TLC Licensed FHV drivers that are currently active and in good standing. This list is accurate to the date and time represented in the Last Date Updated and Last Time Updated fields.,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"fhv, for hire, for-hire, for-hire-vehicles, drivers, taxi, active"
Transportation,Medallion Drivers Historical Archive 3/7/2013 -1/4/2014,Transportation/Medallion-Drivers-Historical-Archive-3-7-2013-1-4-/n776-dsqy,Taxi and Limousine Commission (TLC),This list contains information on the status of current medallion drivers who were authorized to operate NYC TLC licensed Taxicabs from 03/07/2013 through 01/04/2014. The new data set which lists the current day’s snapshot of medallion drivers can be accessed from the link given below https://data.cityofnewyork.us/Transportation/Medallion-Drivers-Active/jb3k-j3gp,NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"taxi, taxicab, tlc, limousine, taxi driver, medallion, taxi license, driver"
Transportation,Real-Time Traffic Speed Data,Transportation/Real-Time-Traffic-Speed-Data/xsat-x5sa,Department of Transportation (DOT),"NYCDOT's Traffic Management Center (TMC) maintains a map of traffic speed detectors throughout the City. The speed detector themselves belong to various city and state agencies. The Traffic Speeds Map is available on the DOT's website (http://nyctmc.org/ ). This data feed contains 'real-time' traffic information from locations where NYCDOT picks up sensor feeds within the five boroughs, mostly on major arterials and highways. NYCDOT uses this information for emergency response and management.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"vehicles, car, bus, automobile, truck, clean web"
